type,code,content,hsn_code_4_digit,chapter_no,sch,gst_rate
hsn,8477.30.00,"Blow moulding machines, for rubber or plastic industry",Blow,84,IV,18%
hsn,8477.40.00,Vacuum moulding machines and other thermoforming machines,Vacu,84,IV,18%
hsn,8477.51.00,Machinery for moulding or retreading pneumatic tyres,Mach,84,IV,18%
hsn,8477.59.00,Other machinery for moulding or otherwise forming,Othe,84,IV,18%
hsn,8477.80.00,Other machinery for working rubber or plastics,Othe,84,IV,18%
hsn,8477.80.100,"Machinery for moulding or retreading pneumatic tyres orfor moulding or otherwise
forming ineer tubes",Mach,84,IV,18%
hsn,8477.90.00,Parts of extruders or other moulding machines for rubber or plastic,Part,84,IV,18%
hsn,8478.00.00,"Machinery for preparing or making up
tobacco, not specified or included elsewhere in this chapter",Mach,84,V,28%
hsn,8478.100.00,Machinery for preparing or making up tobacco,Mach,84,V,28%
hsn,8478.100.100,Cigar making machinery,Ciga,84,V,28%
hsn,8478.100.20,Cigarette making machinery,Ciga,84,V,28%
hsn,8478.90.00,Parts of machinery for preparing or making up tobacco,Part,84,V,28%
hsn,8479.00.00,"Machines and mechanical appliances having individual functions, not specified or included elsewhere in this chapter [other than Passenger boarding bridges of a kind used in airports (8479.71.00) and other (8479.79.00)]",Mach,84,IV,18%
hsn,8479.00.00,Composing machines,Comp,84,III,12%
hsn,8479.00.00,Passenger boarding bridges of a kind used in airports (8479.71.00) and other (8479.79.00),Pass,84,V,28%
hsn,8479.100.00,"Machinery for public works, building or the like",Mach,84,IV,18%
hsn,8479.20.00,Machinery for the extraction or preparation of animal or vegetable fat,Mach,84,IV,18%
hsn,8479.30.00,Presses for the manufacture of particle board or fibre building board,Pres,84,IV,18%
hsn,8479.40.00,Rope or cable-making machines,Rope,84,IV,18%
hsn,8479.50.00,"Industrial robots, not elsewhere specified",Indu,84,IV,18%
hsn,8479.60.00,Evaporative air coolers,Evap,84,IV,18%
hsn,8479.71.00,Passenger boarding bridges of a kind used in airports,Pass,84,V,28%
hsn,8479.79.00,Passenger boarding bridges of a kind used in airports :other,Pass,84,V,28%
hsn,8479.81.00,Machines and mechanical appliances for treating metal,Mach,84,IV,18%
hsn,8479.82.00,"Mixing, kneading, crushing, grinding, screening or stirring machines",Mixi,84,IV,18%
hsn,8479.89.00,"Air-coolers, air purifiers of other machines and mechanical appliances",Air-,84,IV,18%
hsn,8479.89.100,Soap cutting or moulding machinery,Soap,84,IV,18%
hsn,8479.89.20,Air humidifiers or dehumidifiers,Air ,84,IV,18%
hsn,8479.89.30,Mechanical shifting machines,Mech,84,IV,18%
hsn,8479.89.40,Ultra sonic transducers,Ultr,84,IV,18%
hsn,8479.89.50,Car washing machines and related appliances,Car ,84,IV,18%
hsn,8479.89.60,Coke over plants,Coke,84,IV,18%
hsn,8479.89.70,Machinery for the manufacture of chemical and pharmaceutical goods,Mach,84,IV,18%
hsn,8479.89.91,Industrial vacuum cleaners,Indu,84,IV,18%
hsn,8479.89.92,"Briquetting palnt and machinery intended for manufacture of briquettes from agricultural
and municipal waste",Briq,84,IV,18%
hsn,8479.89.99,Machinery for dressing and processing livestock including poultry,Mach,84,IV,18%
hsn,8479.90.00,Parts of other machines and mechanical appliances,Part,84,IV,18%
hsn,8480.00.00,"Moulding boxes for metal foundry; mould bases; moulding patterns; moulds for metals (other than ingot moulds), metal carbides, galss, mineral mateials, rubber or plastics",Moul,84,IV,18%
hsn,8480.100.00,Moulding boxes for metal foundry,Moul,84,IV,18%
hsn,8480.20.00,Mould bases,Moul,84,IV,18%
hsn,8480.30.00,Moulding patterns,Moul,84,IV,18%
hsn,8480.41.00,"Moulds for metal or metal carbides, injection or compression types",Moul,84,IV,18%
hsn,8480.49.00,Other moulds for metal or metal carbides,Othe,84,IV,18%
hsn,8480.50.00,Moulds for glass,Moul,84,IV,18%
hsn,8480.60.00,Moulds for mineral materials,Moul,84,IV,18%
hsn,8480.71.00,"Moulds for rubber or plastics, injection or compression types",Moul,84,IV,18%
hsn,8480.79.00,Other moulds for rubber or plastics,Othe,84,IV,18%
hsn,8481.00.00,"Taps, cocks, valves and similar appliances for pipes, boiler shells, tanks, vats or the like, including pressure-reducing valves and thermostatically controlled valves pressure",Taps,84,IV,18%
hsn,8481.100.00,Pressure-reducing valves,Pres,84,IV,18%
hsn,8481.20.00,Valves for oleohydraulic or pneumatic transmissions,Valv,84,IV,18%
hsn,8481.30.00,Check valves,Chec,84,IV,18%
hsn,8481.40.00,Safety or relief valves,Safe,84,IV,18%
hsn,8481.80.00,"Other valves and other appliances for pipes, tanks, vats or the like",Othe,84,IV,18%
hsn,8481.80.100,Sanitaryware fixtrues of zinc taps made of iorn and steel,Sani,84,IV,18%
hsn,8481.80.20,Sanitaryware fixtrues of zinc taps made of non ferrous metal,Sani,84,IV,18%
hsn,8481.90.00,"Parts of taps, cocks, valves for pipes, boiler shells, tanks or the like",Part,84,IV,18%
hsn,8482.00.00,Ball or roller bearings,Ball,84,IV,18%
hsn,8482.100.00,Ball bearings,Ball,84,IV,18%
hsn,8482.20.00,"Tapered roller bearings, including cone and tapered roller assemblies848230 spherical
roller bearings",Tape,84,IV,18%
hsn,8482.30.00,Spherical roller bearing,Sphe,84,IV,18%
hsn,8482.40.00,Needle roller bearings,Need,84,IV,18%
hsn,8482.50.00,Other cylindrical roller bearings,Othe,84,IV,18%
hsn,8482.80.00,"Other bearings, including combined ball or roller bearings",Othe,84,IV,18%
hsn,8482.91.00,"Balls, needles and rollers",Ball,84,IV,18%
hsn,8482.91.11,Parts for traction motor (machined castings),Part,84,IV,18%
hsn,8482.99.00,Other parts of ball or roller bearings,Othe,84,IV,18%
hsn,8483.00.00,"Transmission shafts (including cam shafts and crank shafts) and cranks; bearing housings and plain shaft bearings; gears and gearing; ball or roller screws; gear boxes and other speed changers, including torque converters; flywheels and pulleys, including pulley blocks; clutches and shaft couplings (including universal joints)",Tran,84,V,28%
hsn,8483.100.00,Transmission shafts (including camshafts and crankshafts) and cranks,Tran,84,V,28%
hsn,8483.20.00,"Bearing housing, incorporating ball or roller bearings",Bear,84,V,28%
hsn,8483.30.00,Bearing housings, plain shaft bearings,Bear,84,V
hsn,8483.40.00,Gears and gearing, ball screws, gear boxes and other speed changers,Gear,84
hsn,8483.50.00,"Flywheels and pulleys, including pulley blocks",Flyw,84,V,28%
hsn,8483.60.00,Clutches and shaft coupling (including universal joints),Clut,84,V,28%
hsn,8483.90.00,"Parts of transmission shafts, cranks, bearing housings, gears or clutch",Part,84,V,28%
hsn,8483.90.00,Servo Controlled Antenna Pedestals,Serv,84,V,28%
hsn,8484.00.00,"Gaskets and similar joints of metal sheeting combined with other material or of two or more layers of metal; sets or assortments of gaskets and similar joints, dissimilar in composition, put up in pouches, envelopes or similar packings; mechanical seals",Gask,84,V,28%
hsn,8484.100.00,Gaskets and similar joints of metal sheeting,Gask,84,V,28%
hsn,8484.90.00,Sets or assortments of gaskets and similar joints,Sets,84,V,28%
hsn,8400.00.00,"Renewable energy devices & spare parts for their manufacture
a) Bio-gas plant
b) Solar power based devices
c) Solar power generating system
d) Wind mills and wind operated electricity generator
e) Waste to energy plants/devices
f) Solar lantern/solar lamp
g) Ocean waves/tidal waves energy devices/plant",Rene,84,II,5%
hsn,8400.00.00,Handloom,Hand,84,I,NIL
hsn,8485.00.00,---,---,84,IV,18%
hsn,8486.00.00,"Machines and apparutus of a kind used solely or principally for the manufacture of semi conductor boules or wafers,semi conductor devices,electronic integrated circuits or flat panel displays; machines and apparutus specified in note 9(c) to this chapter ; parts",Mach,84,IV,18%
hsn,8487.00.00,"Machinery parts, not containing electrical connectors,insulators,coils, contacts or other electrical features not specified or included
elsewhere in this chapter",Mach,84,IV,18%
hsn,8500.00.00,"Renewable energy devices & spare parts for their manufacture
a) Bio-gas plant
b) Solar power based devices
c) Solar power generating system
d) Wind mills and wind operated electricity generator
e) Waste to energy plants/devices
f) Solar lantern/solar lamp
g) Ocean waves/tidal waves energy devices/plant",Rene,85,II,5%
hsn,8501.00.00,Electric  motors  and  generators  (excluding generating sets),Elec,85,IV,18%
hsn,8501.00.00,Electric Motors,Elec,85,IV,18%
hsn,8501.00.00,Electric motors and generators (no sets),Elec,85,IV,18%
hsn,8501.00.00,Electric motors and Spares,Elec,85,IV,18%
hsn,8501.100.00,Motors of an output not exceeding 37.5w,Moto,85,IV,18%
hsn,8501.100.11,Micromotors,Micr,85,IV,18%
hsn,8501.100.12,Cooler Fan Motors,Cool,85,IV,18%
hsn,8501.100.12,DC Regulated power supplies,DC R,85,IV,18%
hsn,8501.100.12,Electric Motors & Spares,Elec,85,IV,18%
hsn,8501.100.12,Stepper Motor,Step,85,IV,18%
hsn,8501.20.00,Universal ac/dc motors of an output exceeding 37.5w,Univ,85,IV,18%
hsn,8501.31.00,"DC motors, DC generators, of an output not exceeding 750w",DC m,85,IV,18%
hsn,8501.32.00,"Dc motors, dc generators, output exceeding 750w but not exceeding 75kw",Dc m,85,IV,18%
hsn,8501.33.00,"Dc motors, dc generators, output exceeding 75kw but not exceeding 375kw",Dc m,85,IV,18%
hsn,8501.34.00,"Dc motors, dc generators, of an output exceeding 375kw",Dc m,85,IV,18%
hsn,8501.40.00,"Other ac motors, single-phase",Othe,85,IV,18%
hsn,8501.51.00,"Ac motors, multi-phase, of an output not exceeding 750w",Ac m,85,IV,18%
hsn,8501.52.00,"Ac motors, multi-phase, output exceeding 750w but not exceeding 75kw",Ac m,85,IV,18%
hsn,8501.53.00,"Ac motors, multi-phase, of an output exceeding 75kw",Ac m,85,IV,18%
hsn,8501.61.00,Ac generators of an output not exceeding 75kva,Ac g,85,IV,18%
hsn,8501.62.00,Ac generators of an output exceeding 75kva but not exceeding 375kva,Ac g,85,IV,18%
hsn,8501.63.00,Ac generators of an output exceeding 375kva but not exceeding 750kva,Ac g,85,IV,18%
hsn,8501.64.00,Ac generators of an output exceeding 750kva,Ac g,85,IV,18%
hsn,8502.00.00,Electric generating sets and rotary converters,Elec,85,IV,18%
hsn,8502.11.00,"Generating sets with compression-ignition engines, not exceeding 75kva",Gene,85,IV,18%
hsn,8502.12.00,"Generating sets with compression-ignition engines, output 75kva-375kva",Gene,85,IV,18%
